img,id_poroto,area_mm2,perimetro_mm,eje_mayor_mm,eje_menor_mm,cx_px,cy_px,RGB_dom,HSV_dom,proportion_dom,area_px_dom,image_path,RGB_lote,HSV_lote,area_px_lote
PL01_2.TIF,6,103.1016083125,39.21176998216189,13.395593737305374,9.865338307791555,3029.748046970482,1417.148958221301,"(187, 167, 149)","(14, 52, 187)",0.5243309835055779,102277,/content/drive/MyDrive/datasCo/Imagenes_Scaner/PL_cropped/PL01_2.TIF,"(133, 117, 105)","(13, 54, 133)",102277
PL01_2.TIF,7,109.3213539375,40.673044257271954,13.52990362279106,10.396050763456154,3415.9511282008725,661.6228664693352,"(185, 166, 149)","(14, 50, 185)",0.5556262506108975,108447,/content/drive/MyDrive/datasCo/Imagenes_Scaner/PL_cropped/PL01_2.TIF,"(144, 123, 111)","(11, 58, 144)",108447
PL01_2.TIF,8,100.8959675625,39.369812129355275,14.03920257822818,9.199251841900702,4024.4591813286174,1074.4156200981126,"(187, 166, 145)","(15, 57, 187)",0.5380811078140455,100089,/content/drive/MyDrive/datasCo/Imagenes_Scaner/PL_cropped/PL01_2.TIF,"(141, 122, 108)","(13, 60, 141)",100089
PL01_2.TIF,9,89.8778444375,37.0509007166902,12.881904413932233,8.934521091943447,4185.147612691932,2378.0922733543443,"(191, 169, 148)","(15, 57, 191)",0.6168193900783993,89159,/content/drive/MyDrive/datasCo/Imagenes_Scaner/PL_cropped/PL01_2.TIF,"(158, 138, 121)","(14, 60, 158)",89159
PL01_2.TIF,10,102.81229437500001,39.35736870155655,13.333632060893171,9.93463953527019,4254.821266790862,1799.2232767918424,"(186, 167, 150)","(14, 49, 186)",0.5969702912050201,101990,/content/drive/MyDrive/datasCo/Imagenes_Scaner/PL_cropped/PL01_2.TIF,"(146, 130, 117)","(13, 51, 146)",101990
PL02_1.TIF,1,164.22951025,51.07209013349834,18.791836373513497,11.226121034804853,794.6958309803825,2211.2787080458643,"(50, 13, 10)","(2, 204, 50)",0.47952318986471554,162916,/content/drive/MyDrive/datasCo/Imagenes_Scaner/PL_cropped/PL02_1.TIF,"(104, 72, 55)","(10, 120, 104)",162916
PL02_1.TIF,2,219.99754387500002,59.342497817130415,21.65911747671038,13.048110852645085,937.7688349416692,1135.6183845159871,"(39, 4, 6)","(178, 229, 39)",0.6159605568232847,218238,/content/drive/MyDrive/datasCo/Imagenes_Scaner/PL_cropped/PL02_1.TIF,"(67, 37, 33)","(4, 129, 67)",218238
PL02_1.TIF,3,202.35745818750001,56.70872994504708,20.905047408308562,12.45838098688754,1420.2126642057597,536.6803809922337,"(40, 5, 7)","(178, 223, 40)",0.6219369429956312,200739,/content/drive/MyDrive/datasCo/Imagenes_Scaner/PL_cropped/PL02_1.TIF,"(64, 34, 32)","(2, 128, 64)",200739
PL02_1.TIF,4,169.021839375,51.801178720833256,19.09233976908731,11.35761646314497,1544.3924315619968,2890.9284845231705,"(166, 143, 108)","(18, 89, 166)",0.5129719091071748,167670,/content/drive/MyDrive/datasCo/Imagenes_Scaner/PL_cropped/PL02_1.TIF,"(127, 88, 63)","(12, 129, 127)",167670
PL02_1.TIF,5,231.70215756250002,61.39596685703606,22.758172335605405,13.150659790126378,1763.1124607894749,1511.7188110455124,"(47, 14, 13)","(1, 184, 47)",0.6290825716013557,229849,/content/drive/MyDrive/datasCo/Imagenes_Scaner/PL_cropped/PL02_1.TIF,"(83, 55, 42)","(10, 126, 83)",229849
PL02_1.TIF,6,192.69114687500002,55.40340177172948,20.365567538142237,12.2213706915509,2563.022725608161,1255.3793251373268,"(67, 8, 4)","(2, 240, 67)",0.6122573894846979,191150,/content/drive/MyDrive/datasCo/Imagenes_Scaner/PL_cropped/PL02_1.TIF,"(79, 25, 19)","(3, 194, 79)",191150
PL02_1.TIF,7,251.082159125,64.41424648013356,24.330819742890462,13.337679615038713,2662.0696258943126,2402.80735845572,"(74, 9, 5)","(2, 238, 74)",0.6140946064221878,249074,/content/drive/MyDrive/datasCo/Imagenes_Scaner/PL_cropped/PL02_1.TIF,"(85, 26, 20)","(3, 195, 85)",249074
PL02_1.TIF,8,208.481437875,57.21882599044802,21.129017772551713,12.647428285768688,3273.7664713220574,687.0294515845155,"(72, 12, 6)","(3, 234, 72)",0.666724689817904,206814,/content/drive/MyDrive/datasCo/Imagenes_Scaner/PL_cropped/PL02_1.TIF,"(83, 30, 21)","(4, 190, 83)",206814
PL02_1.TIF,9,199.8473825625,56.924985011076956,21.071004898227777,12.270883777511237,3527.235935616321,1710.4027510857559,"(68, 10, 7)","(1, 229, 68)",0.511427548184354,198249,/content/drive/MyDrive/datasCo/Imagenes_Scaner/PL_cropped/PL02_1.TIF,"(100, 54, 43)","(6, 145, 100)",198249
PL02_1.TIF,10,299.96109362500005,71.55564614178446,27.08556729776879,14.416917092834659,3559.015240521303,3110.127855707382,"(50, 13, 13)","(0, 189, 50)",0.4741264005484571,297562,/content/drive/MyDrive/datasCo/Imagenes_Scaner/PL_cropped/PL02_1.TIF,"(113, 89, 78)","(9, 79, 113)",297562
PL02_1.TIF,11,236.54388175000003,61.888559173403976,23.24881752789188,13.079404803445518,3927.677207098171,2126.829066021172,"(70, 11, 5)","(3, 237, 70)",0.5828993791769854,234652,/content/drive/MyDrive/datasCo/Imagenes_Scaner/PL_cropped/PL02_1.TIF,"(86, 35, 26)","(5, 178, 86)",234652
PL02_1.TIF,12,187.18208531250002,54.74209921051879,20.39667988055074,11.80188856580891,4070.7909147211676,926.2389853784636,"(77, 18, 10)","(4, 222, 77)",0.6059886366696287,185685,/content/drive/MyDrive/datasCo/Imagenes_Scaner/PL_cropped/PL02_1.TIF,"(108, 63, 47)","(8, 144, 108)",185685
